U5|Clarice User5|user5|user5@thefacebook.edu|6012000005|0eeac8171768d0cdef3a20fee6db4362d019c91e10662a6b55186336e1a42778|1985-06-06|Harvard House 1|Male|Single|USER|Coding;Basketball|Student
U6|Clarice User6|user6|user6@thefacebook.edu|6012000006|5c4950c94a3461441c356afa783f76b83b38fd65f730f291403efbcc798acc1f|1986-07-07|Harvard House 2|Female|In a relationship|USER|Coding;Music|Student
U7|Clarice User7|user7|user7@thefacebook.edu|6012000007|1526f5e0e31d42fe1c3664ce923ac22ac1333417a90b32043797ac454cd03112|1987-08-08|Harvard House 3|Male|Single|USER|Coding;Basketball|Student
U8|Clarice User8|user8|user8@thefacebook.edu|6012000008|c8fea5b0b76dc690feaf5544749f99b40e78e2a37c0e867a086696509416302a|1988-09-09|Harvard House 4|Female|Single|USER|Coding;Music|Student
U9|Clarice User9|user9|user9@thefacebook.edu|6012000009|2d4589473fb3f4581d7452cd25182159d68d2a50056a0cce35a529b010e32f2b|1989-10-10|Harvard House 5|Male|In a relationship|USER|Coding;Basketball|Student
A1|Clarice User1|user1|user1@thefacebook.edu|6012000001|e6c3da5b206634d7f3f3586d747ffdb36b5c675757b380c6a5fe5c570c714349|1981-02-02|Harvard House 2|Male|Single|ADMIN|Coding;Basketball|Student
A2|Clarice User2|user2|user2@thefacebook.edu|6012000002|1ba3d16e9881959f8c9a9762854f72c6e6321cdd44358a10a4e939033117eab9|1982-03-03|Harvard House 3|Female|Single|ADMIN|Coding;Music|Student
U20|Clarice User20|user20|user20@thefacebook.edu|6012000020|51d11024031a8951b4722671adfc8587538f5e5417206e7862e60752758a5c35|1980-09-21|Harvard House 1|Female|Single|USER|Coding;Music|Student
U21|Clarice User21|user21|user21@thefacebook.edu|6012000021|2d6b3bb57cb9e22fa36516172ef096b30ae00d08eedc1499c599b6269975521d|1981-10-22|Harvard House 2|Male|In a relationship|USER|Coding;Basketball|Student
U22|Clarice User22|user22|user22@thefacebook.edu|6012000022|d0f82756c4d40d20e1fdbc90cf4da4adff02fe23b355687525880514642f764e|1982-11-23|Harvard House 3|Female|Single|USER|Coding;Music|Student
